"measure","location","sex","age","year","cause","metric","val","lower","upper"
"Incidence","Global","Both","25 to 29",2021,"Atrial fibrillation and flutter","Rate",12.9,12.642,13.158
"Incidence","Global","Both","30 to 34",2021,"Atrial fibrillation and flutter","Rate",16.9,16.562,17.238
"Incidence","Global","Both","35 to 39",2021,"Atrial fibrillation and flutter","Rate",23.4,22.932,23.868
"Incidence","Global","Both","40 to 44",2021,"Atrial fibrillation and flutter","Rate",32.4,31.752,33.048
"Incidence","Global","Both","45 to 49",2021,"Atrial fibrillation and flutter","Rate",43.9,43.022,44.778
"Incidence","Global","Both","50 to 54",2021,"Atrial fibrillation and flutter","Rate",57.9,56.742,59.058
"Incidence","Global","Both","55 to 59",2021,"Atrial fibrillation and flutter","Rate",74.4,72.912,75.888
"Incidence","Global","Both","60 to 64",2021,"Atrial fibrillation and flutter","Rate",93.4,91.532,95.268
"Incidence","Global","Both","65 to 69",2021,"Atrial fibrillation and flutter","Rate",114.9,112.602,117.198
"Incidence","Global","Both","70 to 74",2021,"Atrial fibrillation and flutter","Rate",138.9,136.122,141.678
"Incidence","Global","Both","75 to 79",2021,"Atrial fibrillation and flutter","Rate",165.4,162.092,168.708
"Incidence","Global","Both","80 to 84",2021,"Atrial fibrillation and flutter","Rate",194.4,190.512,198.288
"Incidence","Global","Both","25 to 29",2021,"Ischemic heart disease","Rate",12.9,12.642,13.158
"Incidence","Global","Both","30 to 34",2021,"Ischemic heart disease","Rate",16.9,16.562,17.238
"Incidence","Global","Both","35 to 39",2021,"Ischemic heart disease","Rate",23.4,22.932,23.868
"Incidence","Global","Both","40 to 44",2021,"Ischemic heart disease","Rate",32.4,31.752,33.048
"Incidence","Global","Both","45 to 49",2021,"Ischemic heart disease","Rate",43.9,43.022,44.778
"Incidence","Global","Both","50 to 54",2021,"Ischemic heart disease","Rate",57.9,56.742,59.058
"Incidence","Global","Both","55 to 59",2021,"Ischemic heart disease","Rate",74.4,72.912,75.888
"Incidence","Global","Both","60 to 64",2021,"Ischemic heart disease","Rate",93.4,91.532,95.268
"Incidence","Global","Both","65 to 69",2021,"Ischemic heart disease","Rate",114.9,112.602,117.198
"Incidence","Global","Both","70 to 74",2021,"Ischemic heart disease","Rate",138.9,136.122,141.678
"Incidence","Global","Both","75 to 79",2021,"Ischemic heart disease","Rate",165.4,162.092,168.708
"Incidence","Global","Both","80 to 84",2021,"Ischemic heart disease","Rate",194.4,190.512,198.288
"Incidence","Global","Both","25 to 29",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",12.9,12.642,13.158
"Incidence","Global","Both","30 to 34",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",16.9,16.562,17.238
"Incidence","Global","Both","35 to 39",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",23.4,22.932,23.868
"Incidence","Global","Both","40 to 44",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",32.4,31.752,33.048
"Incidence","Global","Both","45 to 49",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",43.9,43.022,44.778
"Incidence","Global","Both","50 to 54",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",57.9,56.742,59.058
"Incidence","Global","Both","55 to 59",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",74.4,72.912,75.888
"Incidence","Global","Both","60 to 64",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",93.4,91.532,95.268
"Incidence","Global","Both","65 to 69",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",114.9,112.602,117.198
"Incidence","Global","Both","70 to 74",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",138.9,136.122,141.678
"Incidence","Global","Both","75 to 79",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",165.4,162.092,168.708
"Incidence","Global","Both","80 to 84",2021,"Chronic kidney disease due to diabetes mellitus type 2","Rate",194.4,190.512,198.288
"Incidence","Global","Both","25 to 29",2021,"Chronic kidney disease due to hypertension","Rate",12.9,12.642,13.158
