"location","sex","year","age","val"
"Global","Female",1990,"0 to 4",300400661.818407
"Global","Female",1990,"5 to 9",283828480.207982
"Global","Female",1990,"10 to 14",261430397.710555
"Global","Female",1990,"15 to 19",255538840.563013
"Global","Female",1990,"20 to 24",244134971.670003
"Global","Female",1990,"25 to 29",220099575.447118
"Global","Female",1990,"30 to 34",190109042.662226
"Global","Female",1990,"35 to 39",173453308.615234
"Global","Female",1990,"40 to 44",140225457.744766
"Global","Female",1990,"45 to 49",113800671.303501
"Global","Female",1990,"50 to 54",104916807.617186
"Global","Female",1990,"55 to 59",92311924.0975972
"Global","Female",1990,"60 to 64",82063127.9967134
"Global","Female",1990,"65 to 69",66278240.944391
"Global","Female",1990,"70 to 74",47042641.9518782
"Global","Female",1990,"75 to 79",36322683.2439612
"Global","Female",1990,"80 to 84",22092487.5604767
"Global","Female",1990,"85 to 89",10047011.8213412
"Global","Female",1990,"90 to 94",3026226.97545849
"Global","Female",1990,"95 plus",757855.313962718
"Global","Female",1991,"0 to 4",300866435.740574
"Global","Female",1991,"5 to 9",288088888.806671
"Global","Female",1991,"10 to 14",264336193.594085
"Global","Female",1991,"15 to 19",255282690.312514
"Global","Female",1991,"20 to 24",246182066.450453
"Global","Female",1991,"25 to 29",226509775.280176
"Global","Female",1991,"30 to 34",192793030.29586
"Global","Female",1991,"35 to 39",177659419.794233
"Global","Female",1991,"40 to 44",147209833.19126
"Global","Female",1991,"45 to 49",115347463.802912
"Global","Female",1991,"50 to 54",106063430.014666
"Global","Female",1991,"55 to 59",93688766.3941228
"Global","Female",1991,"60 to 64",83453163.5600383
"Global","Female",1991,"65 to 69",68111706.389586
"Global","Female",1991,"70 to 74",48708770.4532182
"Global","Female",1991,"75 to 79",36335465.6428399
"Global","Female",1991,"80 to 84",22789538.1661567
"Global","Female",1991,"85 to 89",10491342.3215577
"Global","Female",1991,"90 to 94",3237073.39600782
"Global","Female",1991,"95 plus",788596.366806414
"Global","Female",1992,"0 to 4",300625202.73125
"Global","Female",1992,"5 to 9",291995216.948953
"Global","Female",1992,"10 to 14",267807208.001711
"Global","Female",1992,"15 to 19",254918346.585744
"Global","Female",1992,"20 to 24",247825910.628404
"Global","Female",1992,"25 to 29",231894395.785071
"Global","Female",1992,"30 to 34",197087257.819096
"Global","Female",1992,"35 to 39",181112762.707759
"Global","Female",1992,"40 to 44",152307810.382761
"Global","Female",1992,"45 to 49",119342728.488529
"Global","Female",1992,"50 to 54",106778213.811872
"Global","Female",1992,"55 to 59",95442715.2344446
"Global","Female",1992,"60 to 64",84484614.4617236
"Global","Female",1992,"65 to 69",69873911.2699163
"Global","Female",1992,"70 to 74",50748159.3632535
"Global","Female",1992,"75 to 79",36190514.454745
"Global","Female",1992,"80 to 84",23399782.2159074
"Global","Female",1992,"85 to 89",10984108.8899993
"Global","Female",1992,"90 to 94",3422956.2047227
"Global","Female",1992,"95 plus",824308.623395196
"Global","Female",1993,"0 to 4",299797881.816485
"Global","Female",1993,"5 to 9",295090674.460952
"Global","Female",1993,"10 to 14",271848553.813147
"Global","Female",1993,"15 to 19",254960732.682422
"Global","Female",1993,"20 to 24",249208495.136778
"Global","Female",1993,"25 to 29",235583597.873608
"Global","Female",1993,"30 to 34",203421245.963309
"Global","Female",1993,"35 to 39",183447868.420725
"Global","Female",1993,"40 to 44",157960728.921775
"Global","Female",1993,"45 to 49",123731814.184859
"Global","Female",1993,"50 to 54",107168147.051873
"Global","Female",1993,"55 to 59",97114567.285308
"Global","Female",1993,"60 to 64",85462532.9500481
"Global","Female",1993,"65 to 69",71526968.1090217
"Global","Female",1993,"70 to 74",53020202.7944463
"Global","Female",1993,"75 to 79",35960226.1190966
"Global","Female",1993,"80 to 84",24057463.3378917
"Global","Female",1993,"85 to 89",11400596.3412152
"Global","Female",1993,"90 to 94",3636867.98897402
"Global","Female",1993,"95 plus",859848.096508916
"Global","Female",1994,"0 to 4",298433237.312805
"Global","Female",1994,"5 to 9",297047393.775118
"Global","Female",1994,"10 to 14",276298200.493954
"Global","Female",1994,"15 to 19",255882902.046619
"Global","Female",1994,"20 to 24",250181610.898552
"Global","Female",1994,"25 to 29",238160431.563007
"Global","Female",1994,"30 to 34",210670173.077189
"Global","Female",1994,"35 to 39",185038818.862622
"Global","Female",1994,"40 to 44",162521985.737612
"Global","Female",1994,"45 to 49",129884228.091771
"Global","Female",1994,"50 to 54",107651138.294536
"Global","Female",1994,"55 to 59",98585396.7873689
"Global","Female",1994,"60 to 64",86302130.289626
"Global","Female",1994,"65 to 69",73130429.6214879
"Global","Female",1994,"70 to 74",55095723.9600932
"Global","Female",1994,"75 to 79",36175149.5318248
"Global","Female",1994,"80 to 84",24574452.7363707
"Global","Female",1994,"85 to 89",11815839.6066528
"Global","Female",1994,"90 to 94",3852433.99138139
"Global","Female",1994,"95 plus",899705.822969266
"Global","Female",1995,"0 to 4",296831873.407929
"Global","Female",1995,"5 to 9",297836858.930088
"Global","Female",1995,"10 to 14",281119181.923592
"Global","Female",1995,"15 to 19",257878940.214256
"Global","Female",1995,"20 to 24",250768571.482117
"Global","Female",1995,"25 to 29",240205483.371079
"Global","Female",1995,"30 to 34",217798949.045581
"Global","Female",1995,"35 to 39",186643823.790669
