"location","sex","year","age","val"
"Global","Female",2022,"0 to 4",322432290
"Global","Female",2022,"5 to 9",331633786
"Global","Female",2022,"10 to 14",322325070
"Global","Female",2022,"15 to 19",304349929
"Global","Female",2022,"20 to 24",292420203
"Global","Female",2022,"25 to 29",287903727
"Global","Female",2022,"30 to 34",295973101
"Global","Female",2022,"35 to 39",279304075
"Global","Female",2022,"40 to 44",252470337
"Global","Female",2022,"45 to 49",235879476
"Global","Female",2022,"50 to 54",229121723
"Global","Female",2022,"55 to 59",208054801
"Global","Female",2022,"60 to 64",168407265
"Global","Female",2022,"65 to 69",149479970
"Global","Female",2022,"70 to 74",114407175
"Global","Female",2022,"75 to 79",74770670
"Global","Female",2022,"80 to 84",51630118
"Global","Female",2022,"85 to 89",29498214
"Global","Female",2022,"90 to 94",12573520
"Global","Female",2022,"95 plus",3890108
"Global","Female",2023,"0 to 4",319557714
"Global","Female",2023,"5 to 9",331015496
"Global","Female",2023,"10 to 14",325046485
"Global","Female",2023,"15 to 19",307629577
"Global","Female",2023,"20 to 24",294184526
"Global","Female",2023,"25 to 29",287497452
"Global","Female",2023,"30 to 34",294461443
"Global","Female",2023,"35 to 39",283742580
"Global","Female",2023,"40 to 44",258134000
"Global","Female",2023,"45 to 49",235655908
"Global","Female",2023,"50 to 54",231469447
"Global","Female",2023,"55 to 59",210274344
"Global","Female",2023,"60 to 64",173807304
"Global","Female",2023,"65 to 69",152556237
"Global","Female",2023,"70 to 74",119189625
"Global","Female",2023,"75 to 79",78620257
"Global","Female",2023,"80 to 84",52173305
"Global","Female",2023,"85 to 89",30311033
"Global","Female",2023,"90 to 94",12939489
"Global","Female",2023,"95 plus",4057530
"Global","Female",2024,"0 to 4",317870545
"Global","Female",2024,"5 to 9",329407713
"Global","Female",2024,"10 to 14",327064116
"Global","Female",2024,"15 to 19",311182871
"Global","Female",2024,"20 to 24",296232075
"Global","Female",2024,"25 to 29",287526796
"Global","Female",2024,"30 to 34",292398875
"Global","Female",2024,"35 to 39",288227513
"Global","Female",2024,"40 to 44",262996284
"Global","Female",2024,"45 to 49",236673085
"Global","Female",2024,"50 to 54",232586284
"Global","Female",2024,"55 to 59",212733178
"Global","Female",2024,"60 to 64",181210274
"Global","Female",2024,"65 to 69",154453307
"Global","Female",2024,"70 to 74",123946958
"Global","Female",2024,"75 to 79",83250699
"Global","Female",2024,"80 to 84",53040058
"Global","Female",2024,"85 to 89",31250902
"Global","Female",2024,"90 to 94",13367927
"Global","Female",2024,"95 plus",4251725
"Global","Female",2025,"0 to 4",317304313
"Global","Female",2025,"5 to 9",326874751
"Global","Female",2025,"10 to 14",328601265
"Global","Female",2025,"15 to 19",314647822
"Global","Female",2025,"20 to 24",298191841
"Global","Female",2025,"25 to 29",288220727
"Global","Female",2025,"30 to 34",289553285
"Global","Female",2025,"35 to 39",292323336
"Global","Female",2025,"40 to 44",267558596
"Global","Female",2025,"45 to 49",239516980
"Global","Female",2025,"50 to 54",232680661
"Global","Female",2025,"55 to 59",216026769
"Global","Female",2025,"60 to 64",188497710
"Global","Female",2025,"65 to 69",155325661
"Global","Female",2025,"70 to 74",128523312
"Global","Female",2025,"75 to 79",88534949
"Global","Female",2025,"80 to 84",53998834
"Global","Female",2025,"85 to 89",32206138
"Global","Female",2025,"90 to 94",13840329
"Global","Female",2025,"95 plus",4462258
"Global","Female",2026,"0 to 4",317772031
"Global","Female",2026,"5 to 9",323422895
"Global","Female",2026,"10 to 14",329803640
"Global","Female",2026,"15 to 19",317912511
"Global","Female",2026,"20 to 24",300207297
"Global","Female",2026,"25 to 29",289499485
"Global","Female",2026,"30 to 34",287334948
"Global","Female",2026,"35 to 39",294446104
"Global","Female",2026,"40 to 44",272168813
"Global","Female",2026,"45 to 49",243780155
"Global","Female",2026,"50 to 54",232110801
"Global","Female",2026,"55 to 59",219678992
"Global","Female",2026,"60 to 64",195526060
"Global","Female",2026,"65 to 69",156135759
"Global","Female",2026,"70 to 74",132455255
"Global","Female",2026,"75 to 79",93724095
"Global","Female",2026,"80 to 84",55608569
"Global","Female",2026,"85 to 89",33146372
"Global","Female",2026,"90 to 94",14372458
"Global","Female",2026,"95 plus",4670397
"Global","Female",2027,"0 to 4",318620035
"Global","Female",2027,"5 to 9",319663836
"Global","Female",2027,"10 to 14",330365253
"Global","Female",2027,"15 to 19",321124622
"Global","Female",2027,"20 to 24",302878448
"Global","Female",2027,"25 to 29",291018541
"Global","Female",2027,"30 to 34",286411764
"Global","Female",2027,"35 to 39",293959308
"Global","Female",2027,"40 to 44",276691349
"Global","Female",2027,"45 to 49",249300652
"Global","Female",2027,"50 to 54",231668933
"Global","Female",2027,"55 to 59",223295257
"Global","Female",2027,"60 to 64",200341338
"Global","Female",2027,"65 to 69",158400736
"Global","Female",2027,"70 to 74",136003705
"Global","Female",2027,"75 to 79",98476977
"Global","Female",2027,"80 to 84",58365360
"Global","Female",2027,"85 to 89",33935183
"Global","Female",2027,"90 to 94",14937189
"Global","Female",2027,"95 plus",4874975
"Global","Female",2028,"0 to 4",319504952
"Global","Female",2028,"5 to 9",316821291
"Global","Female",2028,"10 to 14",329759790
