analysis_level,location,sex,category,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
overall,Global,Both,Overall,1990,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19953.13619832878,21809.824822033243,59.31,58.05,60.57,59.312077551060156,58.051212558332956,60.57165888635031
overall,Global,Both,Overall,1991,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20030.48828451657,21801.39328170764,59.21,57.88,60.53,59.20567882604234,57.88373682930223,60.52627498426267
overall,Global,Both,Overall,1992,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19932.876050673924,21722.16381554484,59.46,58.15,60.76,59.45578654854723,58.14742590696385,60.76281517847386
overall,Global,Both,Overall,1993,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19790.921646118743,21644.22453997112,59.75,58.49,61.02,59.75393777463803,58.49076935473793,61.01582019203526
overall,Global,Both,Overall,1994,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19801.52837780056,21580.929572308007,59.84,58.52,61.15,59.838509496569756,58.52287944346539,61.15280013719792
overall,Global,Both,Overall,1995,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19678.806752428103,21424.459196874457,60.24,58.90,61.58,60.24489295317646,58.90382778555298,61.584592813422944
overall,Global,Both,Overall,1996,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19673.909694307044,21443.8424758299,60.21,58.89,61.54,60.214212802697375,58.8915446694988,61.535534358113466
overall,Global,Both,Overall,1997,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19628.25391366747,21344.587953296457,60.45,59.08,61.81,60.44759200298883,59.083618770523046,61.81017660590753
overall,Global,Both,Overall,1998,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19578.95385161536,21326.07425329748,60.53,59.19,61.87,60.52793076756963,59.18799238337478,61.86650499153958
overall,Global,Both,Overall,1999,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19481.06236523116,21193.98066707076,60.88,59.52,62.25,60.88411825859922,59.517425121215126,62.24941999736406
overall,Global,Both,Overall,2000,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19418.314859690116,21226.912326848775,60.85,59.56,62.15,60.85210910989184,59.557717333649,62.1451830958561
overall,Global,Both,Overall,2001,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19365.057287218133,21114.401860194677,61.13,59.80,62.47,61.13480726065401,59.79657251594588,62.47167957957311
overall,Global,Both,Overall,2002,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19309.18690423685,21043.146005003902,61.33,59.98,62.68,61.33260193583123,59.98249299324533,62.681336363782364
overall,Global,Both,Overall,2003,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19278.708780772376,21001.26519833183,61.45,60.09,62.81,61.44974985772466,60.09070369577624,62.80741240626235
overall,Global,Both,Overall,2004,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19188.766122704892,20990.549753386476,61.50,60.20,62.80,61.503680867178076,60.20439406705423,62.801644893512936
overall,Global,Both,Overall,2005,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19084.730182546915,20934.06227518191,61.67,60.40,62.93,61.66916580287208,60.40328516556145,62.933757676434126
overall,Global,Both,Overall,2006,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20808.90802146959,22583.11112188115,62.01,60.69,63.33,62.00786210466467,60.68837749352812,63.32600337908878
overall,Global,Both,Overall,2007,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20706.932898548628,22532.538084640822,62.29,61.00,63.57,62.28693202071686,61.00459906841248,63.567959459551936
overall,Global,Both,Overall,2008,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20675.850930449207,22486.48389671489,62.38,61.08,63.67,62.37513645130112,61.082199819946155,63.6667567738268
overall,Global,Both,Overall,2009,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20646.228484927364,22350.74437562252,62.49,61.11,63.86,62.48538512178113,61.11195487052718,63.85741711551628
