analysis_level,location,sex,category,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
system,Global,Both,Cardiovascular diseases,1990,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12209.13235846734,13171.308208266946,60.15,58.62,61.74,60.151713878095265,58.620610220981575,61.73607203768733
system,Global,Both,Cardiovascular diseases,1991,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12112.329135050848,13168.481943740362,60.33,58.93,61.77,60.329555218839324,58.93468986385096,61.77293646637297
system,Global,Both,Cardiovascular diseases,1992,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12199.775570462443,13220.019172100489,60.02,58.57,61.51,60.01818792498388,58.57422791381656,61.512371427967764
system,Global,Both,Cardiovascular diseases,1993,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12090.926702337812,13086.547124483366,60.64,59.16,62.17,60.6394706044905,59.15979930642698,62.17060749630645
system,Global,Both,Cardiovascular diseases,1994,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12071.772865185156,13065.256452071502,60.74,59.26,62.28,60.74369591454351,59.26084206385057,62.27812605381749
system,Global,Both,Cardiovascular diseases,1995,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12051.646372992163,13083.463866566,60.70,59.27,62.18,60.70214008790117,59.27437696933641,62.17956334161279
system,Global,Both,Cardiovascular diseases,1996,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12031.243323334313,13004.498891696776,61.03,59.52,62.60,61.02972074564698,59.51604745128982,62.59604228353177
system,Global,Both,Cardiovascular diseases,1997,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,12047.597402759033,13088.241737192884,60.69,59.27,62.16,60.690192345699224,59.2745396450903,62.15508395962588
system,Global,Both,Cardiovascular diseases,1998,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11985.607686549329,12964.984130573535,61.24,59.73,62.79,61.237519049895596,59.7333058626135,62.79405144139219
system,Global,Both,Cardiovascular diseases,1999,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11986.717709911642,12954.06815473598,61.28,59.76,62.86,61.284462000234704,59.761548592486,62.86034503905344
system,Global,Both,Cardiovascular diseases,2000,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11930.332090938044,12911.558314901022,61.51,60.01,63.06,61.511196509557436,60.009819022452845,63.064794570191765
system,Global,Both,Cardiovascular diseases,2001,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11802.876703317348,12926.728769756335,61.51,60.19,62.86,61.50573648075985,60.1948958404231,62.86217048494575
system,Global,Both,Cardiovascular diseases,2002,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11780.578426946153,12826.314481688954,61.95,60.54,63.41,61.94892818614762,60.54016834112441,63.40668719873839
system,Global,Both,Cardiovascular diseases,2003,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11782.682709694667,12930.968457370647,61.50,60.21,62.83,61.497792673381035,60.214844621995525,62.82536393487038
system,Global,Both,Cardiovascular diseases,2004,12815.632954263645,12520.994761780714,13120.519185982132,55 to 59,60 to 64,11782.536420594515,12822.586453619911,61.97,60.55,63.43,61.96657132284281,60.550109695386965,63.43229999952774
system,Global,Both,Cardiovascular diseases,2005,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12735.366469229768,13790.993822810437,62.38,60.98,63.82,62.380183806158556,60.984624135013604,63.824283519396936
system,Global,Both,Cardiovascular diseases,2006,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12773.189025090747,13735.503475714571,62.22,60.69,63.80,62.2205304573021,60.689647322938214,63.80466042397174
system,Global,Both,Cardiovascular diseases,2007,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12685.583828663292,13736.08476253255,62.62,61.22,64.07,62.61898624459737,61.216616275264244,64.0701331302813
