cause,location,sex,age,year,point_estimate,lower,upper
Age-related diseases,Demo region,Both,25 to 29,2022,6108.874794699942,6097.666813330681,6119.458419809874
Age-related diseases,Demo region,Both,30 to 34,2022,7448.372788250505,7438.223414469382,7459.555470494104
Age-related diseases,Demo region,Both,35 to 39,2022,9179.000702772732,9169.498545539316,9188.294091997246
Age-related diseases,Demo region,Both,40 to 44,2022,10818.59022568107,10809.441650059462,10829.416465206123
Age-related diseases,Demo region,Both,45 to 49,2022,12443.081769338236,12436.049530572229,12455.815189239547
Age-related diseases,Demo region,Both,50 to 54,2022,14171.636162377099,14164.983646061515,14180.475742058723
Age-related diseases,Demo region,Both,55 to 59,2022,15961.730368116658,15951.99863672375,15972.15391300416
Age-related diseases,Demo region,Both,60 to 64,2022,17743.530341404872,17730.016269717442,17759.604703056604
Age-related diseases,Demo region,Both,65 to 69,2022,19540.97166236115,19527.1155425664,19554.312983286192
Age-related diseases,Demo region,Both,70 to 74,2022,21268.480358834207,21252.702652251428,21278.534380903886
Age-related diseases,Demo region,Both,75 to 79,2022,23035.355030381208,23020.35750383725,23049.79833101334
Age-related diseases,Demo region,Both,80 to 84,2022,24826.146073097083,24818.199849387438,24836.22908625042
Age-related diseases,Demo region,Both,85 to 89,2022,26600.530520659442,26587.86378219976,26608.673194235515
Age-related diseases,Demo region,Both,90 to 94,2022,28366.049953389647,28348.1592270213,28383.738799713356
Age-related diseases,Demo region,Both,25 to 29,2023,6136.2504267755485,6124.844633940916,6146.946203934862
Age-related diseases,Demo region,Both,30 to 34,2023,7464.97235532498,7454.7556562460795,7476.196861886102
Age-related diseases,Demo region,Both,35 to 39,2023,9181.134023345901,9171.617865248812,9190.441387876499
Age-related diseases,Demo region,Both,40 to 44,2023,10859.272242306626,10850.092227292575,10870.116802034107
Age-related diseases,Demo region,Both,45 to 49,2023,12467.362446060788,12460.214163260796,12480.159947559947
Age-related diseases,Demo region,Both,50 to 54,2023,14180.554089940117,14173.848962251383,14189.424966461851
Age-related diseases,Demo region,Both,55 to 59,2023,15963.881745284601,15954.131302629836,15974.318273764049
Age-related diseases,Demo region,Both,60 to 64,2023,17739.794393525284,17726.30892364282,17755.85327153491
Age-related diseases,Demo region,Both,65 to 69,2023,19541.95265281097,19528.087060051057,19555.30453111001
Age-related diseases,Demo region,Both,70 to 74,2023,21277.282431821506,21261.44458050787,21287.419533843404
Age-related diseases,Demo region,Both,75 to 79,2023,23033.133901093086,23018.16861594015,23047.55978249048
Age-related diseases,Demo region,Both,80 to 84,2023,24826.67889547847,24818.725231424705,24836.76946287182
Age-related diseases,Demo region,Both,85 to 89,2023,26600.29497399695,26587.633636849714,26608.432564423558
Age-related diseases,Demo region,Both,90 to 94,2023,28364.973024736802,28347.156657337044,28382.60820948235
Age-related diseases,Demo region,Both,25 to 29,2024,6170.506162785851,6158.852844074235,6181.342278293741
Age-related diseases,Demo region,Both,30 to 34,2024,7483.760779008265,7473.4678769649445,7495.032624936397
Age-related diseases,Demo region,Both,35 to 39,2024,9181.80432691458,9172.283769652637,9191.116082579661
Age-related diseases,Demo region,Both,40 to 44,2024,10897.480690042432,10888.271147230042,10908.342456057975
Age-related diseases,Demo region,Both,45 to 49,2024,12494.177719334404,12486.901278966208,12507.045991742369
Age-related diseases,Demo region,Both,50 to 54,2024,14190.025713823663,14183.264708226645,14198.929830343839
Age-related diseases,Demo region,Both,55 to 59,2024,15969.598009264022,15959.797850309496,15980.06903547826
Age-related diseases,Demo region,Both,60 to 64,2024,17737.33057958343,17723.8639722569,17753.37924631214
Age-related diseases,Demo region,Both,65 to 69,2024,19541.02202349539,19527.16541738677,19554.36388640464
Age-related diseases,Demo region,Both,70 to 74,2024,21287.191836936887,21271.286274471066,21297.422470664864
Age-related diseases,Demo region,Both,75 to 79,2024,23032.209125219422,23017.25726389585,23046.627754050245
Age-related diseases,Demo region,Both,80 to 84,2024,24827.7805046488,24819.811457698954,24837.88669041772
Age-related diseases,Demo region,Both,85 to 89,2024,26601.127558383392,26588.44712927214,26609.28311616659
Age-related diseases,Demo region,Both,90 to 94,2024,28364.26005104115,28346.492912518814,28381.85970948364
Age-related diseases,Demo region,Both,25 to 29,2025,6208.274813580233,6196.348585292024,6219.265659089509
Age-related diseases,Demo region,Both,30 to 34,2025,7502.6715774372215,7492.301976096281,7513.991071068128
Age-related diseases,Demo region,Both,35 to 39,2025,9184.426776300263,9174.889008049591,9193.755711536625
Age-related diseases,Demo region,Both,40 to 44,2025,10927.546535826876,10918.31375788498,10938.421841298585
Age-related diseases,Demo region,Both,45 to 49,2025,12523.639755032653,12516.222507490469,12536.58578368872
Age-related diseases,Demo region,Both,50 to 54,2025,14202.468061111404,14195.633651803557,14211.415843175051
Age-related diseases,Demo region,Both,55 to 59,2025,15976.970248442634,15967.105970606584,15987.485766225649
Age-related diseases,Demo region,Both,60 to 64,2025,17735.551571766206,17722.098584232088,17751.592865394097
Age-related diseases,Demo region,Both,65 to 69,2025,19539.46347201472,19525.62191610754,19552.788561864785
Age-related diseases,Demo region,Both,70 to 74,2025,21294.555372157767,21278.59949451679,21304.855507939996
Age-related diseases,Demo region,Both,75 to 79,2025,23032.867204072587,23017.90579023096,23047.290993895203
Age-related diseases,Demo region,Both,80 to 84,2025,24829.991289441903,24821.991371041782,24840.128819237514
Age-related diseases,Demo region,Both,85 to 89,2025,26602.11699643816,26589.4138785568,26610.293906515068
Age-related diseases,Demo region,Both,90 to 94,2025,28363.633394141365,28345.909524558534,28381.20182730434
Age-related diseases,Demo region,Both,25 to 29,2026,6244.822199567618,6232.631886345858,6255.962771820254
Age-related diseases,Demo region,Both,30 to 34,2026,7525.085232815224,7514.624725126197,7536.461199957471
Age-related diseases,Demo region,Both,35 to 39,2026,9188.723457321228,9179.157490193196,9198.080539959894
Age-related diseases,Demo region,Both,40 to 44,2026,10945.48350604447,10936.236866266494,10956.366889014605
Age-related diseases,Demo region,Both,45 to 49,2026,12558.858184849318,12551.272618741996,12571.897162037345
Age-related diseases,Demo region,Both,50 to 54,2026,14218.849042403674,14211.91799338742,14227.85431237006
Age-related diseases,Demo region,Both,55 to 59,2026,15981.110988368311,15971.210697103188,15991.651495575938
Age-related diseases,Demo region,Both,60 to 64,2026,17738.301778502002,17724.827735835646,17754.35447036622
Age-related diseases,Demo region,Both,65 to 69,2026,19537.531749180263,19523.70884701546,19550.83604991824
Age-related diseases,Demo region,Both,70 to 74,2026,21299.381851243226,21283.39299417956,21309.727542618144
Age-related diseases,Demo region,Both,75 to 79,2026,23034.436608041262,23019.452413100265,23048.872705934493
Age-related diseases,Demo region,Both,80 to 84,2026,24833.132684770324,24825.088899852766,24843.314752586684
Age-related diseases,Demo region,Both,85 to 89,2026,26602.778143008636,26590.05986439794,26610.969320775872
Age-related diseases,Demo region,Both,90 to 94,2026,28363.145666041502,28345.455472745725,28380.689796517865
Age-related diseases,Demo region,Both,25 to 29,2027,6195.645846297208,6180.3453540064675,6208.351288958634
