cause,location,sex,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
Age-related diseases,Demo region,Both,2022,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19540.97166236115,21268.480358834207,70.68,70.65,70.72,70.67791535810257,70.64623949689712,70.72216002828169
Age-related diseases,Demo region,Both,2023,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19541.95265281097,21277.282431821506,70.66,70.63,70.70,70.65851257239697,70.6267605859636,70.70267166572367
Age-related diseases,Demo region,Both,2024,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19541.02202349539,21287.191836936887,70.64,70.61,70.68,70.63846569299068,70.60668866931097,70.6824638411944
Age-related diseases,Demo region,Both,2025,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19539.46347201472,21294.555372157767,70.62,70.59,70.67,70.62440947806078,70.59264027130709,70.66826112123884
Age-related diseases,Demo region,Both,2026,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19537.531749180263,21299.381851243226,70.62,70.58,70.66,70.61598885424974,70.58425113453214,70.65971634916473
Age-related diseases,Demo region,Both,2027,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19273.236888387717,21066.21310270518,71.29,71.24,71.35,71.29024354838384,71.23932361650496,71.34772551118985
Age-related diseases,Demo region,Both,2028,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19270.485329750198,21067.618739891655,71.29,71.24,71.35,71.28797460755136,71.23714369586763,71.3453495923691
Age-related diseases,Demo region,Both,2029,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19268.384933190187,21066.83151804536,71.29,71.24,71.35,71.29068312445334,71.23992657622952,71.34798044998071
Age-related diseases,Demo region,Both,2030,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19266.896953371983,21065.51487033103,71.29,71.24,71.35,71.29441085743154,71.24370963962862,71.35165477289061
Age-related diseases,Demo region,Both,2031,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19269.41885024577,21063.8833893602,71.30,71.25,71.35,71.29732360740687,71.24654258689614,71.35466569889182
