measure,metric,location,year,age,sex,category,val,lower,upper
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Both,Cardiovascular diseases,26590945.09563898,26098849.19300005,27071319.78336659
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Female,Cardiovascular diseases,11789957.49475276,11515050.323862568,12184620.057483034
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Male,Cardiovascular diseases,14901709.852189869,14521437.464475308,15213809.108657701
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Both,Cardiovascular diseases,27111564.85755845,26187114.478422847,27727327.666555747
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Female,Cardiovascular diseases,12137738.427593349,11886085.866062481,12418333.347859316
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Male,Cardiovascular diseases,15015691.919273006,14681598.73431574,15413213.409928868
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Both,Cardiovascular diseases,28379974.632047284,27775464.767448522,28934851.522195727
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Female,Cardiovascular diseases,12833949.976270836,12490487.075852603,13248168.695755487
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Male,Cardiovascular diseases,15576707.946002528,15197219.28509117,15884968.723054085
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Both,Cardiovascular diseases,25839251.441655997,25091727.841019146,26573264.15844052
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Female,Cardiovascular diseases,11825600.145712743,11555509.412220255,12190475.516422085
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Male,Cardiovascular diseases,14391579.17817742,13999135.730347663,14865228.934207149
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Both,Cardiovascular diseases,23605631.240771156,22948477.961997055,24158725.60013803
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Female,Cardiovascular diseases,10704754.455745736,10388564.201195326,10999350.60721324
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Male,Cardiovascular diseases,12774229.99372703,12427855.006399807,13158230.394999474
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Both,Cardiovascular diseases,23701638.131942213,23106811.73589102,24222766.917449355
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Female,Cardiovascular diseases,11011006.61837942,10716582.541256657,11359865.027000576
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Male,Cardiovascular diseases,12705824.55021453,12231213.516139416,13067350.558039162
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Both,Cardiovascular diseases,22611126.198108282,22070395.20945049,23219043.64752906
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Female,Cardiovascular diseases,10636183.080027837,10431155.702964138,10923553.382637661
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Male,Cardiovascular diseases,11974227.333594,11697373.109752491,12272758.835174572
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Both,Cardiovascular diseases,21141815.21542086,20492740.872344963,21667749.144056763
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Female,Cardiovascular diseases,10322142.063902253,10106693.898726666,10564394.264140084
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Male,Cardiovascular diseases,10850774.96593948,10528281.895236827,11132190.379912227
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Both,Cardiovascular diseases,17614037.988150764,17198301.52889723,17922924.001917705
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Female,Cardiovascular diseases,8973892.830168558,8746592.560455019,9192936.515184173
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Male,Cardiovascular diseases,8550902.728163663,8315701.982994186,8778211.11446561
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Both,Cardiovascular diseases,12908741.49314407,12652778.336299963,13265219.169330437
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Female,Cardiovascular diseases,6875004.534002934,6704295.975120611,7126764.9927231055
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Male,Cardiovascular diseases,5989596.994860613,5846543.615284689,6186308.844827302
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Both,Cardiovascular diseases,10005672.91187306,9778201.843763873,10312768.859149564
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Female,Cardiovascular diseases,5678680.0381531315,5543131.634974049,5928802.098997001
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Male,Cardiovascular diseases,4265335.6060244255,4175095.2748306566,4367814.627678629
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Both,Cardiovascular diseases,6159834.840653807,6029414.8125753105,6292873.828175165
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Female,Cardiovascular diseases,3683746.681959462,3576908.505297105,3766225.355183536
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Male,Cardiovascular diseases,2381197.948728884,2305464.513315876,2433004.837339241
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Both,Cardiovascular diseases,2768484.8114841864,2682770.0984313106,2842957.071508503
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Female,Cardiovascular diseases,1782958.7969061772,1748895.7440812835,1825859.450170069
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Male,Cardiovascular diseases,967179.7425997182,936516.2214424759,997411.8636392171
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Both,Cardiovascular diseases,827805.7554067089,804763.7567192761,845127.7953289442
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Female,Cardiovascular diseases,567332.17488023,553526.8582186203,579963.7668277964
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Male,Cardiovascular diseases,251946.433862915,247051.48226735354,257680.66983546398
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Both,Cardiovascular diseases,26908291.953393627,26304172.60836304,27613031.231902655
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Female,Cardiovascular diseases,12020632.991785634,11668843.787036056,12395391.477994774
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Male,Cardiovascular diseases,15203045.865646478,14564101.601860465,15693717.587103127
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Both,Cardiovascular diseases,27198837.289188158,26461386.22027848,28037761.733346276
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Female,Cardiovascular diseases,12178298.659081694,11958314.692044297,12635994.668829933
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Male,Cardiovascular diseases,15116632.314589951,14900847.536369823,15451291.103960529
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Both,Cardiovascular diseases,29006734.132427286,28395535.01000195,29493234.137896918
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Female,Cardiovascular diseases,13062980.947604952,12711043.041510142,13429446.811391506
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Male,Cardiovascular diseases,15966479.902700804,15487529.550795134,16336948.404291548
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Both,Cardiovascular diseases,27046434.33272976,26694107.164869346,27915996.71375119
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Female,Cardiovascular diseases,12416711.000995638,12112613.789826345,12681248.340061028
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Male,Cardiovascular diseases,14927200.162862616,14443097.175259352,15313731.401154809
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Both,Cardiovascular diseases,23735184.25829151,23089413.040788587,24352864.97675454
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Female,Cardiovascular diseases,10916187.03598533,10717226.887244754,11264958.768322177
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Male,Cardiovascular diseases,12954721.26343033,12675070.517140824,13306873.979782917
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Both,Cardiovascular diseases,23878247.94537692,23173781.88527012,24790574.409287095
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Female,Cardiovascular diseases,11069709.978489958,10754419.186181005,11317093.33731515
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Male,Cardiovascular diseases,12804578.641728481,12532454.220121179,13200626.907885458
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Both,Cardiovascular diseases,22839604.19466845,22237974.084683932,23537153.517465748
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Female,Cardiovascular diseases,10796837.720145121,10561510.221384943,11051777.460730458
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Male,Cardiovascular diseases,12071393.391322637,11705759.543891223,12507761.38079499
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Both,Cardiovascular diseases,21719569.736059118,21235236.935940024,22360882.753838636
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Female,Cardiovascular diseases,10432913.7756672,10156980.45212363,10789155.654694071
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Male,Cardiovascular diseases,11138029.916948834,10902932.712295499,11414219.531576954
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Both,Cardiovascular diseases,18124410.548830643,17845928.793345984,18517098.047598116
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Female,Cardiovascular diseases,9276999.40008263,9069090.414341342,9588094.511327583
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Male,Cardiovascular diseases,8823200.673182158,8640903.417872325,9037725.522228507
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Both,Cardiovascular diseases,13322014.710004732,12991477.490347289,13729632.047460241
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Female,Cardiovascular diseases,7098907.450749614,6899209.191175366,7254632.959729263
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Male,Cardiovascular diseases,6182630.507197595,5955294.501877814,6334906.41939195
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Both,Cardiovascular diseases,10056620.312281867,9852291.697394883,10318201.222103547
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Female,Cardiovascular diseases,5662097.121827187,5513025.131070249,5796404.100500589
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Male,Cardiovascular diseases,4307158.204197794,4204201.10105641,4391697.231774793
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Both,Cardiovascular diseases,6306153.009011147,6140706.491086911,6481379.230153392
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Female,Cardiovascular diseases,3791116.382639766,3667348.290202211,3928311.251624286
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Male,Cardiovascular diseases,2469582.78765214,2393890.56740244,2540902.2124898853
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Both,Cardiovascular diseases,2905038.49452041,2843007.9443382,2954410.175138687
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Female,Cardiovascular diseases,1854241.6126809726,1814650.9399366444,1898803.3881518305
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Male,Cardiovascular diseases,1012037.3937351521,975826.0562332552,1037551.6620702331
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Both,Cardiovascular diseases,885018.2205251851,866728.2317782193,912372.0177011584
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Female,Cardiovascular diseases,605447.4107241376,588724.8339348735,619783.2786267246
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Male,Cardiovascular diseases,269144.591215275,263648.5170766241,277647.92385173775
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Both,Cardiovascular diseases,27698304.898547016,27110272.245784745,28332550.218873736
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Female,Cardiovascular diseases,12295119.587074691,11923813.83301447,12680185.282013115
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Male,Cardiovascular diseases,15511468.68257747,15109395.252689105,15855306.598754823
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Both,Cardiovascular diseases,27841110.31010885,27196225.597144037,28698225.578117367
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Female,Cardiovascular diseases,12450144.475969382,12093302.022213798,12953842.449595861
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Male,Cardiovascular diseases,15441820.539164232,15053366.068353288,15872801.914671231
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Both,Cardiovascular diseases,29425580.56273426,28827606.442342803,30001607.11349234
