measure,metric,location,year,age,sex,val,lower,upper
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Both,41316810.00612001,40603942.86818651,42062655.019133404
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Female,17620222.030760366,17195645.11808752,18090514.497710496
DALYs (Disability-Adjusted Life Years),Number,Global,1990,25 to 29,Male,23815250.85259793,23424104.304794498,24289669.461354926
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Both,42742421.09394609,42030767.24078663,43611868.10379964
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Female,18597191.206759807,18188203.922484186,18942952.596681923
DALYs (Disability-Adjusted Life Years),Number,Global,1990,30 to 34,Male,24250012.736949526,23861285.34466419,24689041.95465962
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Both,45359291.449080095,44558532.77530305,46408733.422232896
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Female,20053540.029588126,19598813.322320417,20389173.5769796
DALYs (Disability-Adjusted Life Years),Number,Global,1990,35 to 39,Male,25364456.500412297,24953198.923266657,26032861.088363007
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Both,41820567.50481394,41067159.075657725,42375473.72129842
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Female,18785178.518596504,18445489.591551464,19128610.242353134
DALYs (Disability-Adjusted Life Years),Number,Global,1990,40 to 44,Male,23412884.2441393,22944862.79689012,23754577.329889655
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Both,38310640.72923219,37846662.58570852,39001135.030772224
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Female,17213292.197697233,16898272.489606462,17503122.089586608
DALYs (Disability-Adjusted Life Years),Number,Global,1990,45 to 49,Male,21045431.545632634,20685498.29114618,21506289.783346754
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Both,38544786.41984897,37752481.55733707,39197420.90516322
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Female,17696036.05164779,17382620.668165952,18092583.708612327
DALYs (Disability-Adjusted Life Years),Number,Global,1990,50 to 54,Male,20979271.490787756,20620345.83244436,21320805.729089387
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Both,36917827.089476146,36341615.59611315,37451869.66846804
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Female,17246844.52940302,16888506.672373585,17589152.029758103
DALYs (Disability-Adjusted Life Years),Number,Global,1990,55 to 59,Male,19780180.170678724,19416085.916877754,20122613.22786271
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Both,34981382.96766548,34367309.937555954,35609489.702925846
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Female,16824206.317095373,16501797.530236468,17097248.240297116
DALYs (Disability-Adjusted Life Years),Number,Global,1990,60 to 64,Male,18124692.762500554,17794353.00365647,18463297.617022082
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Both,29145649.60155943,28569259.65008112,29838290.931912035
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Female,14754349.112236965,14460142.118215252,15040269.531736117
DALYs (Disability-Adjusted Life Years),Number,Global,1990,65 to 69,Male,14265775.135343585,14060134.196059717,14494646.829211362
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Both,21462541.753725477,21071263.434229895,21839307.615361296
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Female,11278088.83336554,11119651.83563047,11426797.709701352
DALYs (Disability-Adjusted Life Years),Number,Global,1990,70 to 74,Male,10025515.656855999,9859645.750478268,10189615.067090476
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Both,16690581.267061442,16322671.552390754,16930543.231971752
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Female,9345930.685147334,9186920.225866728,9535746.098919982
DALYs (Disability-Adjusted Life Years),Number,Global,1990,75 to 79,Male,7145344.762299986,7036509.648196604,7292361.833537107
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Both,10215784.49339922,9980517.628021032,10378387.940725572
